country,year,year_vaccines,population
Albania,2021,1141486,2827615.0
Albania,2022,200757,2827615.0
Albania,2023,7012,2827615.0
Andorra,2021,56509,79722.0
Andorra,2022,816,79722.0
Andorra,2023,12,79722.0
Austria,2021,6675453,9064679.0
Austria,2022,190540,9064679.0
Austria,2023,2108,9064679.0
Belarus,2020,0,9173241.0
Belarus,2021,4356041,9173241.0
Belarus,2022,2081798,9173241.0
Belarus,2023,98553,9173241.0
Belgium,2020,590,11641813.0
Belgium,2021,8938845,11641813.0
Belgium,2022,319784,11641813.0
Belgium,2023,2087,11641813.0
Bosnia and Herzegovina,2021,882641,3204805.0
Bosnia and Herzegovina,2022,60753,3204805.0
Bulgaria,2020,2889,6825863.0
Bulgaria,2021,1899535,6825863.0
Bulgaria,2022,200609,6825863.0
Bulgaria,2023,51111,6825863.0
Croatia,2020,0,3907031.0
Croatia,2021,2251529,3907031.0
Croatia,2022,61279,3907031.0
Croatia,2023,2353,3907031.0
Cyprus,2021,636989,1331376.0
Cyprus,2022,30079,1331376.0
Cyprus,2023,224,1331376.0
Czechia,2020,10589,10673216.0
Czechia,2021,6818621,10673216.0
Czechia,2022,147156,10673216.0
Czechia,2023,4034,10673216.0
Czechia,2024,317,10673216.0
Denmark,2020,9,5902898.0
Denmark,2021,4693559,5902898.0
Denmark,2022,52089,5902898.0
Denmark,2023,863,5902898.0
Estonia,2020,2284,1350092.0
Estonia,2021,839636,1350092.0
Estonia,2022,26432,1350092.0
Estonia,2023,1535,1350092.0
Estonia,2024,124,1350092.0
Faroe Islands,2021,37444,54039.0
Faroe Islands,2022,278,54039.0
Finland,2021,4275196,5569299.0
Finland,2022,248685,5569299.0
Finland,2023,305,5569299.0
Finland,2024,35,5569299.0
France,2020,2007,66277412.0
France,2021,53227807,66277412.0
France,2022,1414026,66277412.0
France,2023,33224,66277412.0
Germany,2020,182500,84086228.0
Germany,2021,62549049,84086228.0
Germany,2022,2108304,84086228.0
Germany,2023,12020,84086228.0
Gibraltar,2021,40753,37631.0
Gibraltar,2022,1002,37631.0
Greece,2020,1892,10412481.0
Greece,2021,7467030,10412481.0
Greece,2022,463026,10412481.0
Greece,2023,4707,10412481.0
Greece,2024,929,10412481.0
Guernsey,2021,26818,63748.0
Guernsey,2022,21254,63748.0
Hungary,2021,6136375,9684306.0
Hungary,2022,154290,9684306.0
Iceland,2020,0,380368.0
Iceland,2021,283366,380368.0
Iceland,2022,21529,380368.0
Ireland,2021,2109817,5110013.0
Ireland,2022,171174,5110013.0
Ireland,2023,3677,5110013.0
Ireland,2024,754,5110013.0
Isle of Man,2021,64893,84144.0
Isle of Man,2022,770,84144.0
Italy,2020,33476,59619106.0
Italy,2021,48445813,59619106.0
Italy,2022,2442452,59619106.0
Italy,2023,7788,59619106.0
Jersey,2021,41330,103493.0
Jersey,2022,2871,103493.0
Jersey,2023,27,103493.0
Kosovo,2021,883919,1717950.0
Kosovo,2022,22761,1717950.0
Kosovo,2023,178,1717950.0
Latvia,2020,2333,1881058.0
Latvia,2021,1311789,1881058.0
Latvia,2022,32061,1881058.0
Liechtenstein,2020,0,39336.0
Liechtenstein,2021,26157,39336.0
Liechtenstein,2022,606,39336.0
Liechtenstein,2023,8,39336.0
Lithuania,2020,7338,2816922.0
Lithuania,2021,1908054,2816922.0
Lithuania,2022,38630,2816922.0
Lithuania,2023,1711,2816922.0
Lithuania,2024,149,2816922.0
Luxembourg,2020,799,653316.0
Luxembourg,2021,463148,653316.0
Luxembourg,2022,17498,653316.0
Luxembourg,2023,60,653316.0
Malta,2021,432910,528194.0
Malta,2022,33938,528194.0
Malta,2023,398,528194.0
Malta,2024,2,528194.0
Moldova,2021,986048,3039987.0
Moldova,2022,114553,3039987.0
Moldova,2023,5074,3039987.0
Monaco,2021,20426,38949.0
Montenegro,2021,283884,614650.0
Montenegro,2022,8899,614650.0
Netherlands,2021,12379337,17904422.0
Netherlands,2022,164367,17904422.0
Netherlands,2023,3702,17904422.0
North Macedonia,2021,842871,1840236.0
North Macedonia,2022,11581,1840236.0
North Macedonia,2023,118,1840236.0
Norway,2020,2422,5456795.0
Norway,2021,4289980,5456795.0
Norway,2022,54593,5456795.0
Poland,2020,45600,38385734.0
Poland,2021,21626068,38385734.0
Poland,2022,1177108,38385734.0
Poland,2023,133768,38385734.0
Portugal,2021,9392375,10417075.0
Portugal,2022,390863,10417075.0
Portugal,2023,32990,10417075.0
Romania,2020,9324,19166776.0
Romania,2021,5464218,19166776.0
Russia,2020,23500,145579890.0
Russia,2021,73772200,145579890.0
Russia,2022,13844950,145579890.0
Russia,2023,1412450,145579890.0
San Marino,2021,24271,34113.0
San Marino,2022,2051,34113.0
Serbia,2021,3302157,6791218.0
Serbia,2022,44918,6791218.0
Slovakia,2021,2495171,5473194.0
Slovakia,2022,70571,5473194.0
Slovakia,2023,244116,5473194.0
Slovenia,2020,5291,2115230.0
Slovenia,2021,1238949,2115230.0
Slovenia,2022,15363,2115230.0
Spain,2021,39581882,47828386.0
Spain,2022,1668528,47828386.0
Spain,2023,17986,47828386.0
Sweden,2021,7591963,10487333.0
Sweden,2022,178978,10487333.0
Sweden,2023,3372,10487333.0
Switzerland,2020,6279,8792180.0
Switzerland,2021,5960217,8792180.0
Switzerland,2022,128854,8792180.0
Switzerland,2023,1560,8792180.0
Ukraine,2021,14713150,41048767.0
Ukraine,2022,1060991,41048767.0
Ukraine,2023,492898,41048767.0
United Kingdom,2021,49500198,68179315.0
United Kingdom,2022,2020194,68179315.0
