freq,unit,sex,age,icd10,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,RT,T,TOTAL,A-R_V-Y,AT	1014.65 	998.03 	957.32 	990.02 	939.7 	952.19 	944.5 	919.97 	993.92 	982.06 
A,RT,T,TOTAL,A-R_V-Y,BE	1051.47 	1035.24 	970.8 	1001.94 	960.71 	955.7 	946.05 	912.29 	1050.91 	921.4 
A,RT,T,TOTAL,A-R_V-Y,BG	1709.04 	1604.92 	1648.69 	1660.22 	1601.88 	1621.74 	1588.85 	1565.26 	1786.72 	2131.88 
A,RT,T,TOTAL,A-R_V-Y,CH	881.8 	873.58 	838.92 	868.04 	812.4 	815.81 	799.23 	788.02 	869.31 	796.99 
A,RT,T,TOTAL,A-R_V-Y,CY	1055.78 	951.52 	980.1 	1047.48 	966.21 	1042.15 	944.02 	970.38 	979.82 	1071.02 
A,RT,T,TOTAL,A-R_V-Y,CZ	1323.36 	1308.17 	1237.38 	1280.23 	1206.06 	1223.84 	1212.37 	1182.51 	1352.94 	1436.99 
A,RT,T,TOTAL,A-R_V-Y,DE	1061.01 	1072.4 	1017.32 	1057.59 	1017.25 	1022.94 	1030.37 	994.21 	1020.38 	1045.22 
A,RT,T,TOTAL,A-R_V-Y,DK	1088.07 	1074.09 	1028.53 	1032.58 	1016.28 	1005.8 	1023.93 	978.19 	970.33 	992.8 
A,RT,T,TOTAL,A-R_V-Y,EE	1317.07 	1283.83 	1269.42 	1236.76 	1206.88 	1186.88 	1180.78 	1126.97 	1142.08 	1322.26 
A,RT,T,TOTAL,A-R_V-Y,EL	1047.05 	978.32 	967.28 	1003.37 	957.87 	980.9 	930.15 	946.2 	982.37 	1079.29 
A,RT,T,TOTAL,A-R_V-Y,ES	898.41 	848.32 	837.46 	872.68 	829.05 	835.93 	825.2 	790.68 	918.85 	828.83 
A,RT,T,TOTAL,A-R_V-Y,FI	1026.98 	999.43 	994.85 	968.81 	976.05 	948.92 	944.49 	913.17 	916.64 	929.27 
A,RT,T,TOTAL,A-R_V-Y,FR	887.79 	864.93 	829.13 	858.16 	834.57 	829.65 	817.77 	805.84 	863.46 	848.26 
A,RT,T,TOTAL,A-R_V-Y,HR	1371.21 d	1359.18 d	1355.97 	1429.88 	1336.05 	1370.18 	1331.51 	1289.26 	1404.77 	1551.55 
A,RT,T,TOTAL,A-R_V-Y,HU	1538.63 d	1489.03 d	1455.53 	1500.2 	1425.36 	1461.98 	1438.52 	1406.1 	1512.75 	1651.65 
A,RT,T,TOTAL,A-R_V-Y,IE	1039.49 	1034.34 	993.58 	1000.98 	983.02 	937.25 	921.37 	881.2 	891.88 	914.15 
A,RT,T,TOTAL,A-R_V-Y,IS	880.54 	943.31 	882.53 	913.05 	944.58 	891.55 	868.82 	861.04 	848.17 	827.82 
A,RT,T,TOTAL,A-R_V-Y,IT	922.62 	878.29 	854.08 	901.26 	843.15 	868.14 	833.48 	829.37 	953.42 	899.26 
A,RT,T,TOTAL,A-R_V-Y,LI	847.32 	915.81 	976.36 	878.16 	891.57 	795.36 	868.56 	806.8 	961.18 	783.48 
A,RT,T,TOTAL,A-R_V-Y,LT	1506.04 	1510.91 	1449.26 	1490.35 	1455.39 	1408.99 	1377.19 	1314.42 	1482 	1623.16 
A,RT,T,TOTAL,A-R_V-Y,LU	983.19 	941.98 	917.54 	930.15 	904.72 	900 	882.34 	848.18 	905.11 	859.57 
A,RT,T,TOTAL,A-R_V-Y,LV	1591.06 	1549.27 	1503.16 	1489.41 	1476.67 	1472.94 	1463.82 	1399.03 	1445.21 	1728.01 
A,RT,T,TOTAL,A-R_V-Y,MT	1059.82 	974.72 	936.34 	947.55 	881.82 	911.68 	902.22 	864.52 	926.27 	904.07 
A,RT,T,TOTAL,A-R_V-Y,NL	1017.89 	1003.64 	958.23 	991.78 	980.31 	967.83 	967.32 	935.22 	1020.55 	1011.66 
A,RT,T,TOTAL,A-R_V-Y,NO	999.06 	941.43 	913.73 	907.3 	899.01 	886.87 	871.28 	849.41 	828.46 	832.27 
A,RT,T,TOTAL,A-R_V-Y,PL	1328.29 	1308.16 	1241.07 	1273.62 	1218.22 	1239.64 	1249.02 	1210.37 	1393.13 	1504.5 
A,RT,T,TOTAL,A-R_V-Y,PT	1052.09 	1024.83 	991.41 	1005.36 	1005.03 	980.61 	993.02 	966.22 	1044.03 	1000.31 
A,RT,T,TOTAL,A-R_V-Y,RO	1602.12 	1520.65 	1516.64 	1529.97 	1479.39 	1479.85 	1474.32 	1427.6 	1621.57 	1860.81 
A,RT,T,TOTAL,A-R_V-Y,RS	1745.7 	1663.71 	1636.2 	1648.21 	1570.96 	1593.58 	1539.45 	1513.9 	1724.93 	2032.92 
A,RT,T,TOTAL,A-R_V-Y,SE	975.9 	950.13 	922.22 	926.7 	913.05 	909.21 	897.38 	848.12 	934.38 	849.74 
A,RT,T,TOTAL,A-R_V-Y,SI	1090.86 	1072.08 	1018.63 	1041.14 	1013.64 	1014.74 	984.96 	962.29 	1112.42 	1050.9 
A,RT,T,TOTAL,A-R_V-Y,SK	1461.04 	1418.12 	1353.52 	1390.61 	1323.93 	1335.86 	1308.85 	1249.35 	1365.47 	1676.4 
A,RT,T,TOTAL,A-R_V-Y,TR	1060.93 d	1135.98 d	1167 d	1168.38 d	1189.56 d	1182.1 d	1139.43 d	1114.01 d	1304.03 d	1425.61 d
A,RT,T,TOTAL,A-R_V-Y,UK	1008.99 	995.65 	972.21 	1003.64 	986.86 	983.3 	966.59 	: 	: 	: 
