country,year,inbound,outbound
Austria,2012,167917783.0,43844400.0
Austria,2013,172162182.0,44802455.0
Austria,2014,158960091.0,44940474.0
Austria,2015,158779952.0,43430850.0
Austria,2016,170161936.0,47122308.0
Austria,2017,169736345.0,46169540.0
Austria,2018,192292602.0,46906583.0
Austria,2019,182842378.0,49674838.0
Austria,2020,123853532.0,28703835.0
Austria,2021,119922439.0,36544635.0
Austria,2022,189948798.0,57386179.0
Austria,2023,197203986.0,61714662.0
Belgium,2012,51468209.0,24708988.0
Belgium,2013,51317175.0,26659480.0
Belgium,2014,47841676.0,26062546.0
Belgium,2015,50718836.0,27916002.0
Belgium,2016,45790305.0,32065118.0
Belgium,2017,52565713.0,30404434.0
Belgium,2018,62677488.0,33785398.0
Belgium,2019,65185851.0,36615447.0
Belgium,2020,37267631.0,18441019.0
Belgium,2021,53845678.0,25233152.0
Belgium,2022,64487947.0,36240963.0
Belgium,2023,72233570.0,38556943.0
Bulgaria,2012,18453531.0,7152410.0
Bulgaria,2013,20350943.0,7931427.0
Bulgaria,2014,17888968.0,7547586.0
Bulgaria,2015,16640260.0,6141122.0
Bulgaria,2016,23402980.0,7177987.0
Bulgaria,2017,26395112.0,10927133.0
Bulgaria,2018,28206072.0,10180610.0
Bulgaria,2019,25505074.0,9889199.0
Bulgaria,2020,11682098.0,4995807.0
Bulgaria,2021,16443536.0,6296228.0
Bulgaria,2022,20177819.0,8628336.0
Bulgaria,2023,24394610.0,9620774.0
Switzerland,2012,52114310.0,37503284.0
Switzerland,2013,51457722.0,39259806.0
Switzerland,2014,49461332.0,38086293.0
Switzerland,2015,46000779.0,40290602.0
Switzerland,2016,45242538.0,40467939.0
Switzerland,2017,45441943.0,44226394.0
Switzerland,2018,52492226.0,43891490.0
Switzerland,2019,51145353.0,39966568.0
Switzerland,2020,36425158.0,26640412.0
Switzerland,2021,34890673.0,27854400.0
Switzerland,2022,48718781.0,36885854.0
Switzerland,2023,43879681.0,
Cyprus,2012,12278094.0,5089620.0
Cyprus,2013,11178117.0,4811310.0
Cyprus,2014,9971753.0,4989656.0
Cyprus,2015,9716878.0,4823904.0
Cyprus,2016,10995644.0,5270278.0
Cyprus,2017,12431027.0,5597672.0
Cyprus,2018,12931464.0,6002353.0
Cyprus,2019,13776744.0,6402899.0
Cyprus,2020,10961597.0,4338712.0
Cyprus,2021,13161032.0,4684085.0
Cyprus,2022,14708400.0,5847538.0
Cyprus,2023,13120766.0,6478168.0
Czechia,2012,136844644.0,65716852.0
Czechia,2013,127117746.0,62560232.0
Czechia,2014,131278172.0,65385249.0
Czechia,2015,124406604.0,59638711.0
Czechia,2016,136984363.0,66132607.0
Czechia,2017,153397038.0,71629274.0
Czechia,2018,147658364.0,69138308.0
Czechia,2019,152484804.0,69647386.0
Czechia,2020,93943291.0,46181471.0
Czechia,2021,102137946.0,51972964.0
Czechia,2022,130092731.0,65950872.0
Czechia,2023,114960465.0,56263436.0
Germany,2012,1087665593.0,495047971.0
Germany,2013,1062624830.0,497164037.0
Germany,2014,1025501826.0,473819894.0
Germany,2015,1084463630.0,495751892.0
Germany,2016,1090568672.0,511296156.0
Germany,2017,1015514439.0,487154219.0
Germany,2018,1065021834.0,535758223.0
Germany,2019,1084513486.0,521035772.0
Germany,2020,703165670.0,292324826.0
Germany,2021,830095269.0,356316578.0
Germany,2022,905451477.0,443383446.0
Germany,2023,997611770.0,501289871.0
Denmark,2012,103933293.0,58327960.0
Denmark,2013,112964229.0,63583518.0
Denmark,2014,118777308.0,64636622.0
Denmark,2015,118097245.0,66580525.0
Denmark,2016,107686163.0,59552503.0
Denmark,2017,98216013.0,53032135.0
Denmark,2018,74381474.0,37750142.0
Denmark,2019,106499979.0,59470753.0
Denmark,2020,76392086.0,39879797.0
Denmark,2021,67176291.0,32516390.0
Denmark,2022,77926386.0,36399310.0
Denmark,2023,53668538.0,
Estonia,2012,25547138.0,5815719.0
Estonia,2013,24818594.0,5798815.0
Estonia,2014,29403000.0,7995684.0
Estonia,2015,31132304.0,7908624.0
Estonia,2016,35806145.0,9185716.0
Estonia,2017,35342975.0,9112310.0
Estonia,2018,40059400.0,12935054.0
Estonia,2019,33830209.0,10375630.0
Estonia,2020,17628250.0,5398839.0
Estonia,2021,17060188.0,5682101.0
Estonia,2022,26161492.0,7518733.0
Estonia,2023,29330460.0,9488120.0
Greece,2012,77220801.0,14174066.0
Greece,2013,70308589.0,11168614.0
Greece,2014,77218154.0,12668925.0
Greece,2015,70223425.0,11629945.0
Greece,2016,74667588.0,11117144.0
Greece,2017,87181479.0,12419752.0
Greece,2018,94017718.0,13130290.0
Greece,2019,95282733.0,12346090.0
Greece,2020,41250145.0,9535494.0
Greece,2021,67797147.0,10425058.0
Greece,2022,100963320.0,13858878.0
Greece,2023,102001188.0,13831503.0
Spain,2012,919912365.0,274627768.0
Spain,2013,898343286.0,264701470.0
Spain,2014,851043511.0,255866630.0
Spain,2015,892628105.0,272822317.0
Spain,2016,951518279.0,290946608.0
Spain,2017,1010783921.0,305415622.0
Spain,2018,1024001120.0,310580348.0
Spain,2019,1004245386.0,308633215.0
Spain,2020,495729379.0,158128278.0
Spain,2021,728724454.0,227517598.0
Spain,2022,917622852.0,276383183.0
Spain,2023,967173900.0,293640386.0
Finland,2012,191672680.0,79983762.0
Finland,2013,189188453.0,78165606.0
Finland,2014,180645011.0,75210314.0
Finland,2015,182101710.0,76146204.0
Finland,2016,186132658.0,77905091.0
Finland,2017,190927464.0,79067128.0
Finland,2018,184006000.0,77203394.0
Finland,2019,186633829.0,77440362.0
Finland,2020,143936402.0,51341484.0
Finland,2021,180095091.0,62355074.0
Finland,2022,170559300.0,66587732.0
Finland,2023,152377173.0,62605131.0
France,2012,1327340340.0,450050272.0
France,2013,1317103849.0,449900008.0
France,2014,1305133391.0,452521190.0
France,2015,1155379590.0,398313334.0
France,2016,1144905810.0,392020852.0
France,2017,1274576777.0,441549618.0
France,2018,1265825267.0,440459824.0
France,2019,1244826451.0,433136304.0
France,2020,963275476.0,326843412.0
France,2021,1194145799.0,400671928.0
France,2022,1341496187.0,458531368.0
France,2023,1375532686.0,478915274.0
Croatia,2012,81001402.0,17473422.0
Croatia,2013,81719534.0,18302780.0
Croatia,2014,78644633.0,16346866.0
Croatia,2015,69196170.0,13234357.0
Croatia,2016,63508507.0,9082537.0
Croatia,2017,72034805.0,9799554.0
Croatia,2018,72992742.0,10510246.0
Croatia,2019,72258125.0,11926410.0
Croatia,2020,33511818.0,6006736.0
Croatia,2021,59276632.0,7833976.0
Croatia,2022,77240910.0,8999132.0
Croatia,2023,78839171.0,11381937.0
Hungary,2012,75925792.0,36987804.0
Hungary,2013,64453906.0,32099338.0
Hungary,2014,63079231.0,34634486.0
Hungary,2015,67792100.0,36160486.0
Hungary,2016,65031768.0,36198784.0
Hungary,2017,66432147.0,37215982.0
Hungary,2018,66833201.0,38459484.0
Hungary,2019,70186897.0,39604580.0
Hungary,2020,35157273.0,20205544.0
Hungary,2021,40514507.0,22602398.0
Hungary,2022,58691583.0,32257286.0
Hungary,2023,62811192.0,34229398.0
Ireland,2012,48940382.0,24051410.0
Ireland,2013,53443576.0,24259244.0
Ireland,2014,50585457.0,25055410.0
Ireland,2015,49875610.0,25766335.0
Ireland,2016,54444809.0,27441000.0
Ireland,2017,58511764.0,29112763.0
Ireland,2018,64902474.0,31881609.0
Ireland,2019,65694849.0,34255320.0
Ireland,2020,38095531.0,16258242.0
Ireland,2021,28460356.0,12894195.0
Ireland,2022,70480456.0,35954775.0
Ireland,2023,67831658.0,37857050.0
Italy,2012,441609629.0,129627298.0
Italy,2013,382646212.0,104024244.0
Italy,2014,392794117.0,109985580.0
Italy,2015,385624446.0,101537862.0
Italy,2016,432894053.0,115171144.0
Italy,2017,424395285.0,112842375.0
Italy,2018,498469278.0,136372472.0
Italy,2019,452682690.0,124652930.0
Italy,2020,227259117.0,64544926.0
Italy,2021,288382477.0,72798532.0
Italy,2022,405410827.0,94678906.0
Italy,2023,395039060.0,90393495.0
Lithuania,2012,17964219.0,8445894.0
Lithuania,2013,17901736.0,8705592.0
Lithuania,2014,18359678.0,8875664.0
Lithuania,2015,18643320.0,9046165.0
Lithuania,2016,18671760.0,9013799.0
Lithuania,2017,18147379.0,9119612.0
Lithuania,2018,19134428.0,9770254.0
Lithuania,2019,20506462.0,10348441.0
Lithuania,2020,15976972.0,6239156.0
Lithuania,2021,19653859.0,7839860.0
Lithuania,2022,24064293.0,11028872.0
Lithuania,2023,27385382.0,12146046.0
Luxembourg,2012,3472873.0,3256676.0
Luxembourg,2013,4585810.0,3359039.0
Luxembourg,2014,3100030.0,3690620.0
Luxembourg,2015,4172753.0,3453145.0
Luxembourg,2016,3924936.0,3214810.0
Luxembourg,2017,3898134.0,4850948.0
Luxembourg,2018,5117561.0,5109828.0
Luxembourg,2019,4449145.0,5166835.0
Luxembourg,2020,3553268.0,3198726.0
Luxembourg,2021,4693791.0,3930520.0
Luxembourg,2022,5992596.0,5966558.0
Luxembourg,2023,6933425.0,6562962.0
Latvia,2012,26080678.0,10387142.0
Latvia,2013,22547628.0,8804691.0
Latvia,2014,23836161.0,9239739.0
Latvia,2015,21759239.0,8427892.0
Latvia,2016,22118072.0,8639608.0
Latvia,2017,21962319.0,8415552.0
Latvia,2018,20919012.0,7904138.0
Latvia,2019,20728977.0,7961454.0
Latvia,2020,10417427.0,3596996.0
Latvia,2021,16114968.0,5808932.0
Latvia,2022,20491793.0,8262795.0
Latvia,2023,21650558.0,9224763.0
Malta,2012,4817909.0,1001947.0
Malta,2013,5378021.0,1052076.0
Malta,2014,4332831.0,1125646.0
Malta,2015,4691096.0,1199604.0
Malta,2016,5925377.0,1398152.0
Malta,2017,6402297.0,1614129.0
Malta,2018,7447034.0,1748910.0
Malta,2019,6584785.0,1817911.0
Malta,2020,3122249.0,1138859.0
Malta,2021,4830365.0,1342552.0
Malta,2022,5620528.0,1874319.0
Malta,2023,8540719.0,2442622.0
Netherlands,2012,216652889.0,92988015.0
Netherlands,2013,207929531.0,86494096.0
Netherlands,2014,196041451.0,84559032.0
Netherlands,2015,192752178.0,83382740.0
Netherlands,2016,211140029.0,85314458.0
Netherlands,2017,205575900.0,90103068.0
Netherlands,2018,212711526.0,88873856.0
Netherlands,2019,219938180.0,93043420.0
Netherlands,2020,157608150.0,56880752.0
Netherlands,2021,216431529.0,85361728.0
Netherlands,2022,186557841.0,89271094.0
Netherlands,2023,204931434.0,94395740.0
Norway,2012,15619566.0,
Norway,2013,39449110.0,39839338.0
Norway,2014,45180201.0,49288282.0
Norway,2015,44240679.0,45036812.0
Norway,2016,45143592.0,43735697.0
Norway,2017,51251344.0,46535475.0
Norway,2018,60022074.0,54167814.0
Norway,2019,22691652.0,
Norway,2020,5966080.0,
Norway,2021,48569148.0,45346197.0
Norway,2022,15863549.0,
Norway,2023,63985030.0,58417288.0
Poland,2012,197370420.0,104515880.0
Poland,2013,195637519.0,104987558.0
Poland,2014,180141759.0,97259605.0
Poland,2015,189985778.0,101553612.0
Poland,2016,206459145.0,109773653.0
Poland,2017,216936594.0,115820872.0
Poland,2018,229848229.0,120966316.0
Poland,2019,235587954.0,127125584.0
Poland,2020,169542398.0,89514958.0
Poland,2021,205331096.0,106180734.0
Poland,2022,239053410.0,126886874.0
Poland,2023,242948633.0,131655612.0
Portugal,2012,107311092.0,28062412.0
Portugal,2013,115750741.0,29880919.0
Portugal,2014,110649423.0,29311540.0
Portugal,2015,119921217.0,31569580.0
Portugal,2016,124177741.0,31860700.0
Portugal,2017,144374908.0,34947144.0
Portugal,2018,151101928.0,36596043.0
Portugal,2019,157108684.0,40978489.0
Portugal,2020,86242338.0,24863846.0
Portugal,2021,105938151.0,29220199.0
Portugal,2022,150629418.0,38029636.0
Portugal,2023,157845399.0,40079945.0
Romania,2012,70605174.0,33647878.0
Romania,2013,73478133.0,35364382.0
Romania,2014,73240902.0,34773002.0
Romania,2015,72424448.0,33496316.0
Romania,2016,75330882.0,34610520.0
Romania,2017,79923150.0,35804802.0
Romania,2018,84229331.0,36803710.0
Romania,2019,90736154.0,38749302.0
Romania,2020,48050082.0,23264382.0
Romania,2021,72238321.0,34701452.0
Romania,2022,76029349.0,36590418.0
Romania,2023,91278522.0,42768196.0
Sweden,2012,90557640.0,
Sweden,2013,90254988.0,
Sweden,2014,150457187.0,77930551.0
Sweden,2015,156304468.0,80429986.0
Sweden,2016,166803561.0,84766499.0
Sweden,2017,185734122.0,119296738.0
Sweden,2018,179621597.0,109082308.0
Sweden,2019,179269263.0,109781532.0
Sweden,2020,208179173.0,108111069.0
Sweden,2021,216879491.0,113904362.0
Sweden,2022,274968126.0,155339324.0
Sweden,2023,160243384.0,
Slovenia,2012,17402181.0,9078047.0
Slovenia,2013,16694194.0,9273968.0
Slovenia,2014,16758138.0,9061053.0
Slovenia,2015,14502375.0,8776538.0
Slovenia,2016,15250814.0,9146025.0
Slovenia,2017,15811870.0,9650798.0
Slovenia,2018,17998026.0,10381678.0
Slovenia,2019,16648212.0,9824921.0
Slovenia,2020,10419850.0,4802366.0
Slovenia,2021,22453164.0,10751332.0
Slovenia,2022,22144455.0,11867072.0
Slovenia,2023,29846447.0,15667405.0
Slovakia,2012,35716343.0,14332456.0
Slovakia,2013,38431431.0,13788918.0
Slovakia,2014,38782941.0,14676746.0
Slovakia,2015,44736779.0,16743916.0
Slovakia,2016,52295286.0,19645726.0
Slovakia,2017,55167943.0,21939669.0
Slovakia,2018,60051142.0,24846876.0
Slovakia,2019,64979449.0,27808517.0
Slovakia,2020,32974450.0,10923582.0
Slovakia,2021,33043972.0,12624279.0
Slovakia,2022,53494013.0,20889225.0
Slovakia,2023,56156588.0,23715080.0
United Kingdom,2012,292672404.0,322225644.0
United Kingdom,2013,300472422.0,318827052.0
United Kingdom,2014,80904922.0,
United Kingdom,2015,79125935.0,
United Kingdom,2016,82126152.0,
United Kingdom,2017,92629149.0,
United Kingdom,2018,100080703.0,
United Kingdom,2019,93388642.0,
United Kingdom,2020,20565543.0,
United Kingdom,2021,15228476.0,
United Kingdom,2022,70465438.0,
United Kingdom,2023,86053530.0,
Albania,2012,,
Albania,2013,,
Albania,2014,,
Albania,2015,,
Albania,2016,,
Albania,2017,,9148421.0
Albania,2018,,
Albania,2019,,10701208.0
Albania,2020,,6424146.0
Albania,2021,,
Albania,2022,,
Albania,2023,,
Montenegro,2012,,
Montenegro,2013,,
Montenegro,2014,,
Montenegro,2015,,
Montenegro,2016,,3239966.0
Montenegro,2017,,2850772.0
Montenegro,2018,,
Montenegro,2019,,
Montenegro,2020,,
Montenegro,2021,,
Montenegro,2022,,
Montenegro,2023,,
North Macedonia,2012,,
North Macedonia,2013,,
North Macedonia,2014,,
North Macedonia,2015,,
North Macedonia,2016,,
North Macedonia,2017,,
North Macedonia,2018,,
North Macedonia,2019,,1108748.0
North Macedonia,2020,,589174.0
North Macedonia,2021,,934896.0
North Macedonia,2022,,
North Macedonia,2023,,
Serbia,2012,,
Serbia,2013,,
Serbia,2014,,
Serbia,2015,,
Serbia,2016,,
Serbia,2017,,
Serbia,2018,,3919752.0
Serbia,2019,,
Serbia,2020,,
Serbia,2021,,
Serbia,2022,,
Serbia,2023,,
